nombre,wind[m/s],wind_up[m/s],wind_down[m/s]
Guira_de_Melena, 42.7604, 0.0, 0.0
Santiago_de_las_Vegas, 41.2519, 0.0, 0.0
Bainoa, 40.1531, 0.0, 0.0
Casablanca, 40.7006, 0.0, 0.0
La_Palma, 42.2733, 0.0, 0.0
Paso_Real_de_San_Diego, 43.5343, 0.0, 0.0
Batabano, 43.2442, 0.0, 0.0
Santa_Fe, 49.0851, 0.0, 0.0
Pinar_del_Rio, 43.851, 0.0, 0.0
Bahia_Honda, 42.3345, 0.0, 0.0
Cabo_de_San_Antonio, 44.4164, 0.0, 0.0
Punta_del_Este, 50.5796, 0.0, 0.0
